Contig,protein,Sample_ID,AMG_KO,AMG_KO_name,Pfam,Pfam_name,AMG_KO,KEGG_Entry,Metabolism,Pathway
HV_002_15_k141_30922,HV_002_15_k141_30922_3,HV_002_15,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],PF01808.18,AICARFT/IMPCHase bienzyme,K00602,map00230,Nucleotide metabolism,Purine metabolism
HV_002_15_k141_30922_B,HV_002_15_k141_30922_3_B,HV_002_15,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],PF01808.18,AICARFT/IMPCHase bienzyme,K00602,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_002_18_k141_7788,HV_002_18_k141_7788_11,HV_002_18,K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],PF01070.18,FMN-dependent dehydrogenase,K00101,map00620,Carbohydrate metabolism,Pyruvate metabolism
HV_003_05_k141_2845,HV_003_05_k141_2845_2,HV_003_05,K00287,DHFR; folA; dihydrofolate reductase [EC:1.5.1.3],PF00186.19,Dihydrofolate reductase,K00287,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_003_05_k141_2845_B,HV_003_05_k141_2845_2_B,HV_003_05,K00287,DHFR; folA; dihydrofolate reductase [EC:1.5.1.3],PF00186.19,Dihydrofolate reductase,K00287,map00670,Metabolism of cofactors and vitamins,One carbon pool by folate
HV_003_09_k141_50240,HV_003_09_k141_50240_2,HV_003_09,K00616,E2.2.1.2; talA; talB; transaldolase [EC:2.2.1.2],PF00923.19,Transaldolase/Fructose-6-phosphate aldolase,K00616,map00030,Carbohydrate metabolism,Pentose phosphate pathway
HV_003_10_k141_22800,HV_003_10_k141_22800_5,HV_003_10,K19002,mgs; bgsB; 1;2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337],PF00534.20,Glycosyl transferases group 1,K19002,map00561,Lipid metabolism,Glycerolipid metabolism
HV_003_10_k141_36801,HV_003_10_k141_36801_4,HV_003_10,K03183,ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1;4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201],PF08241.12,Methyltransferase domain,K03183,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_003_10_k141_7483,HV_003_10_k141_7483_3,HV_003_10,K01791,wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14],PF02350.19,UDP-N-acetylglucosamine 2-epimerase,K01791,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_003_11_k141_23384,HV_003_11_k141_23384_3,HV_003_11,K03183,ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1;4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201],PF08241.12,Methyltransferase domain,K03183,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_003_11_k141_3422,HV_003_11_k141_3422_3,HV_003_11,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_003_12_k141_20715,HV_003_12_k141_20715_4,HV_003_12,K01620,ltaE; threonine aldolase [EC:4.1.2.48],PF01212.21,Beta-eliminating lyase,K01620,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_003_12_k141_5242,HV_003_12_k141_5242_2,HV_003_12,K07258,dacC; dacA; dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4],PF00768.20,D-alanyl-D-alanine carboxypeptidase,K07258,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_003_16_k141_980,HV_003_16_k141_980_1,HV_003_16,K00019,E1.1.1.30; bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],PF00106.25,short chain dehydrogenase,K00019,map00072,Lipid metabolism,Synthesis and degradation of ketone bodies
HV_004_04_k141_17325,HV_004_04_k141_17325_4,HV_004_04,K06920,queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20],PF06508.13,Queuosine biosynthesis protein QueC,K06920,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_004_04_k141_17325_5,HV_004_04_k141_17325_5,HV_004_04,K01737,queD; ptpS; PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],PF01242.19,6-pyruvoyl tetrahydropterin synthase,K01737,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_004_04_k141_17325_6,HV_004_04_k141_17325_6,HV_004_04,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_004_05_k141_3042,HV_004_05_k141_3042_3,HV_004_05,K00820,glmS; GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],PF01380.22,SIS domain,K00820,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_004_05_k141_3042_B,HV_004_05_k141_3042_3_B,HV_004_05,K00820,glmS; GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],PF01380.22,SIS domain,K00820,map00250,Amino acid metabolism,Alanine; aspartate and glutamate metabolism
HV_004_14_k141_3066,HV_004_14_k141_3066_3,HV_004_14,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_004_14_k141_3066_4,HV_004_14_k141_3066_4,HV_004_14,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_006_10_k141_1069,HV_006_10_k141_1069_1,HV_006_10,K06920,queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20],PF06508.13,Queuosine biosynthesis protein QueC,K06920,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_006_10_k141_1069_2,HV_006_10_k141_1069_2,HV_006_10,K01737,queD; ptpS; PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50],PF01242.19,6-pyruvoyl tetrahydropterin synthase,K01737,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_006_10_k141_1069_3,HV_006_10_k141_1069_3,HV_006_10,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_006_11_k141_434,HV_006_11_k141_434_1,HV_006_11,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],PF04055.21,Radical SAM superfamily,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_006_11_k141_434_4,HV_006_11_k141_434_4,HV_006_11,K16937,doxD; thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2],,,K16937,map00920,Energy metabolism,Sulfur metabolism
HV_006_16_k141_11562,HV_006_16_k141_11562_4,HV_006_16,K05366,mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],PF00912.22,Transglycosylase,K05366,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_006_16_k141_19494,HV_006_16_k141_19494_4,HV_006_16,K00012,UGDH; ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22],PF03721.14,UDP-glucose/GDP-mannose dehydrogenase family; NAD binding domain,K00012,map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
HV_006_16_k141_19494_B,HV_006_16_k141_19494_4_B,HV_006_16,K00012,UGDH; ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22],PF03721.14,UDP-glucose/GDP-mannose dehydrogenase family; NAD binding domain,K00012,map00053,Carbohydrate metabolism,Ascorbate and aldarate metabolism
HV_006_16_k141_19494_C,HV_006_16_k141_19494_4_C,HV_006_16,K00012,UGDH; ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22],PF03721.14,UDP-glucose/GDP-mannose dehydrogenase family; NAD binding domain,K00012,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_006_16_k141_23161,HV_006_16_k141_23161_3,HV_006_16,K00720,UGCG; ceramide glucosyltransferase [EC:2.4.1.80],PF13506.6,Glycosyl transferase family 21,K00720,map00600,Lipid metabolism,Sphingolipid metabolism
HV_006_16_k141_2568,HV_006_16_k141_2568_4,HV_006_16,K21029,moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80],PF00899.21,ThiF family,K21029,map04122,Folding; sorting and degradation,Sulfur relay system
HV_006_16_k141_26273,HV_006_16_k141_26273_3,HV_006_16,K01710,E4.2.1.46; rfbB; rffG; dTDP-glucose 4;6-dehydratase [EC:4.2.1.46],PF16363.5,GDP-mannose 4;6 dehydratase,K01710,map00523,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis
HV_006_16_k141_26273_B,HV_006_16_k141_26273_3_B,HV_006_16,K01710,E4.2.1.46; rfbB; rffG; dTDP-glucose 4;6-dehydratase [EC:4.2.1.46],PF16363.5,GDP-mannose 4;6 dehydratase,K01710,map01055,Metabolism of terpenoids and polyketides,Biosynthesis of vancomycin group antibiotics
HV_006_16_k141_26273_C,HV_006_16_k141_26273_3_C,HV_006_16,K01710,E4.2.1.46; rfbB; rffG; dTDP-glucose 4;6-dehydratase [EC:4.2.1.46],PF16363.5,GDP-mannose 4;6 dehydratase,K01710,map00521,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis
HV_006_16_k141_26273_D,HV_006_16_k141_26273_3_D,HV_006_16,K01710,E4.2.1.46; rfbB; rffG; dTDP-glucose 4;6-dehydratase [EC:4.2.1.46],PF16363.5,GDP-mannose 4;6 dehydratase,K01710,map00525,Biosynthesis of other secondary metabolites,Acarbose and validamycin biosynthesis
HV_006_16_k141_26953,HV_006_16_k141_26953_2,HV_006_16,K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],PF00215.24,Orotidine 5'-phosphate decarboxylase / HUMPS family,K01591,map00240,Nucleotide metabolism,Pyrimidine metabolism
HV_006_16_k141_39840,HV_006_16_k141_39840_7,HV_006_16,K21310,mddA; methanethiol S-methyltransferase [EC:2.1.1.334],PF04191.13,Phospholipid methyltransferase,K21310,map00920,Energy metabolism,Sulfur metabolism
HV_006_16_k141_450,HV_006_16_k141_450_4,HV_006_16,K02850,waaY; rfaY; heptose II phosphotransferase [EC:2.7.1.-],,,K02850,map00540,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
HV_006_16_k141_48808,HV_006_16_k141_48808_5,HV_006_16,K00864,glpK; GK; glycerol kinase [EC:2.7.1.30],PF00370.21,FGGY family of carbohydrate kinases; N-terminal domain,K00864,map00561,Lipid metabolism,Glycerolipid metabolism
HV_006_16_k141_7483,HV_006_16_k141_7483_4,HV_006_16,K01784,galE; GALE; UDP-glucose 4-epimerase [EC:5.1.3.2],,,K01784,map00520,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism
HV_006_18_k141_25925,HV_006_18_k141_25925_2,HV_006_18,K21344,rfaE1; D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167],PF00294.24,pfkB family carbohydrate kinase,K21344,map00540,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
HV_006_19_k141_113867,HV_006_19_k141_113867_2,HV_006_19,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_006_19_k141_116112,HV_006_19_k141_116112_1,HV_006_19,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_006_19_k141_116112_2,HV_006_19_k141_116112_2,HV_006_19,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_006_19_k141_43506,HV_006_19_k141_43506_5,HV_006_19,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_006_19_k141_84894,HV_006_19_k141_84894_4,HV_006_19,K01759,GLO1; gloA; lactoylglutathione lyase [EC:4.4.1.5],PF13669.6,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,K01759,map00620,Carbohydrate metabolism,Pyruvate metabolism
HV_007_03_k141_4888,HV_007_03_k141_4888_3,HV_007_03,K01834,PGAM; gpmA; 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11],PF00300.22,Histidine phosphatase superfamily (branch 1),K01834,map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
HV_007_03_k141_4888_B,HV_007_03_k141_4888_3_B,HV_007_03,K01834,PGAM; gpmA; 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11],PF00300.22,Histidine phosphatase superfamily (branch 1),K01834,map00680,Energy metabolism,Methane metabolism
HV_007_03_k141_4888_C,HV_007_03_k141_4888_3_C,HV_007_03,K01834,PGAM; gpmA; 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11],PF00300.22,Histidine phosphatase superfamily (branch 1),K01834,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_007_06_k141_31763,HV_007_06_k141_31763_4,HV_007_06,K06167,phnP; phosphoribosyl 1;2-cyclic phosphate phosphodiesterase [EC:3.1.4.55],PF00753.27,Metallo-beta-lactamase superfamily,K06167,map00440,Metabolism of other amino acids,Phosphonate and phosphinate metabolism
HV_008_11_k141_6298,HV_008_11_k141_6298_2,HV_008_11,K15971,tcmP; elmP; O-methyltransferase [EC:2.1.1.-],PF04072.14,Leucine carboxyl methyltransferase,K15971,map01057,Metabolism of terpenoids and polyketides,Biosynthesis of type II polyketide products
HV_008_11_k141_7375,HV_008_11_k141_7375_2,HV_008_11,K16839,hpxO; FAD-dependent urate hydroxylase [EC:1.14.13.113],PF01494.19,FAD binding domain,K16839,map00230,Nucleotide metabolism,Purine metabolism
HV_008_14_k141_71278,HV_008_14_k141_71278_4,HV_008_14,K00558,DNMT1; dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],PF00145.17,C-5 cytosine-specific DNA methylase,K00558,map00270,Amino acid metabolism,Cysteine and methionine metabolism
HV_008_19_k141_23991,HV_008_19_k141_23991_1,HV_008_19,K00859,coaE; dephospho-CoA kinase [EC:2.7.1.24],PF01121.20,Dephospho-CoA kinase,K00859,map00770,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
HV_009_03_k141_10262,HV_009_03_k141_10262_6,HV_009_03,K03183,ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1;4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201],PF08241.12,Methyltransferase domain,K03183,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
HV_009_03_k141_10696,HV_009_03_k141_10696_4,HV_009_03,K10026,queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3],,,K10026,map00790,Metabolism of cofactors and vitamins,Folate biosynthesis
HV_009_03_k141_8596,HV_009_03_k141_8596_9,HV_009_03,K00616,E2.2.1.2; talA; talB; transaldolase [EC:2.2.1.2],PF00923.19,Transaldolase/Fructose-6-phosphate aldolase,K00616,map00030,Carbohydrate metabolism,Pentose phosphate pathway
HV_009_04_k141_1697,HV_009_04_k141_1697_1,HV_009_04,K01069,gloB; gloC; HAGH; hydroxyacylglutathione hydrolase [EC:3.1.2.6],PF16123.5,Hydroxyacylglutathione hydrolase C-terminus,K01069,map00620,Carbohydrate metabolism,Pyruvate metabolism
HV_009_05_k141_2643,HV_009_05_k141_2643_4,HV_009_05,K00019,E1.1.1.30; bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],PF13561.6,Enoyl-(Acyl carrier protein) reductase,K00019,map00650,Carbohydrate metabolism,Butanoate metabolism
HV_009_05_k141_2643_B,HV_009_05_k141_2643_4_B,HV_009_05,K00019,E1.1.1.30; bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],PF13561.6,Enoyl-(Acyl carrier protein) reductase,K00019,map00072,Lipid metabolism,Synthesis and degradation of ketone bodies
HV_009_06_k141_24885,HV_009_06_k141_24885_3,HV_009_06,K13745,ddc; L-2;4-diaminobutyrate decarboxylase [EC:4.1.1.86],PF00282.19,Pyridoxal-dependent decarboxylase conserved domain,K13745,map00260,Amino acid metabolism,Glycine; serine and threonine metabolism
HV_009_09_k141_106502,HV_009_09_k141_106502_2,HV_009_09,K11694,femA; peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17],PF02388.16,FemAB family,K11694,map00550,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
HV_009_09_k141_40374,HV_009_09_k141_40374_4,HV_009_09,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],PF01583.20,Adenylylsulphate kinase,K00860,map00920,Energy metabolism,Sulfur metabolism
HV_009_09_k141_40374_B,HV_009_09_k141_40374_4_B,HV_009_09,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],PF01583.20,Adenylylsulphate kinase,K00860,map00230,Nucleotide metabolism,Purine metabolism
HV_009_09_k141_92884,HV_009_09_k141_92884_1,HV_009_09,K00728,POMT; pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],PF16192.5,C-terminal four TMM region of protein-O-mannosyltransferase,K00728,map00515,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
HV_009_09_k141_92884_B,HV_009_09_k141_92884_1_B,HV_009_09,K00728,POMT; pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],PF16192.5,C-terminal four TMM region of protein-O-mannosyltransferase,K00728,map00514,Glycan biosynthesis and metabolism,Other types of O-glycan biosynthesis
HV_009_13_k141_21006,HV_009_13_k141_21006_1,HV_009_13,K21064,ycsE; yitU; ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104],PF08282.12,haloacid dehalogenase-like hydrolase,K21064,map00740,Metabolism of cofactors and vitamins,Riboflavin metabolism
HV_009_13_k141_66120,HV_009_13_k141_66120_3,HV_009_13,K08744,CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41],PF01066.21,CDP-alcohol phosphatidyltransferase,K08744,map00564,Lipid metabolism,Glycerophospholipid metabolism
HV_009_13_k141_8406,HV_009_13_k141_8406_2,HV_009_13,K02850,waaY; rfaY; heptose II phosphotransferase [EC:2.7.1.-],,,K02850,map00540,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
HV_009_14_k141_100809,HV_009_14_k141_100809_1,HV_009_14,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],PF01583.20,Adenylylsulphate kinase,K00860,map00920,Energy metabolism,Sulfur metabolism
HV_009_14_k141_100809_B,HV_009_14_k141_100809_1_B,HV_009_14,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],PF01583.20,Adenylylsulphate kinase,K00860,map00230,Nucleotide metabolism,Purine metabolism
HV_009_19_k141_1813,HV_009_19_k141_1813_4,HV_009_19,K03183,ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1;4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201],PF13847.6,Methyltransferase domain,K03183,map00130,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis
